"id","idclasses","name"
"491","11196","GOD_CLASS"
"492","11257","DATA_CLASS"
"493","11265","BRAIN_CLASS"
"494","11331","DATA_CLASS"
"495","11352","DATA_CLASS"
"496","11395","DATA_CLASS"
"497","11398","GOD_CLASS"
"498","11399","DATA_CLASS"
"499","11423","DATA_CLASS"
"500","11467","GOD_CLASS"
"501","11472","BRAIN_CLASS"
"502","11487","GOD_CLASS"
"503","11487","BRAIN_CLASS"
"504","11492","DATA_CLASS"
"505","11493","DATA_CLASS"
"506","11505","BRAIN_CLASS"
"507","11505","GOD_CLASS"
"508","11542","BRAIN_CLASS"
"509","11584","BRAIN_CLASS"
"510","11596","GOD_CLASS"
"511","11601","GOD_CLASS"
"512","11636","BRAIN_CLASS"
"513","11647","DATA_CLASS"
"514","11660","DATA_CLASS"
"515","11718","BRAIN_CLASS"
"516","11727","GOD_CLASS"
"517","11744","GOD_CLASS"
"518","11756","BRAIN_CLASS"
"519","11762","GOD_CLASS"
"520","11762","BRAIN_CLASS"
"521","11763","GOD_CLASS"
"522","11763","BRAIN_CLASS"
"523","11767","BRAIN_CLASS"
"524","11808","GOD_CLASS"
"525","11838","DATA_CLASS"
"526","11885","GOD_CLASS"
"527","11885","BRAIN_CLASS"
"528","11894","GOD_CLASS"
"529","11921","DATA_CLASS"
"530","11958","DATA_CLASS"
"531","11995","BRAIN_CLASS"
"532","12040","BRAIN_CLASS"
"533","12073","BRAIN_CLASS"
"534","12084","GOD_CLASS"
"535","12193","DATA_CLASS"
"536","12241","GOD_CLASS"
"537","12307","GOD_CLASS"
"538","12325","GOD_CLASS"
"539","12347","DATA_CLASS"
"540","12360","BRAIN_CLASS"
"541","12403","GOD_CLASS"
"542","12405","GOD_CLASS"
"543","12405","BRAIN_CLASS"
"544","12487","DATA_CLASS"
"545","12494","GOD_CLASS"
"546","12494","BRAIN_CLASS"
"547","12501","DATA_CLASS"
"548","12632","GOD_CLASS"
"549","12672","GOD_CLASS"
"550","12710","BRAIN_CLASS"
"551","12769","DATA_CLASS"
"552","12778","DATA_CLASS"
"553","12781","DATA_CLASS"
"554","12828","GOD_CLASS"
"555","12849","GOD_CLASS"
"556","12861","BRAIN_CLASS"
"557","12866","GOD_CLASS"
"558","12883","DATA_CLASS"
"559","12885","DATA_CLASS"
"560","12894","DATA_CLASS"
"561","12945","GOD_CLASS"
"562","12957","DATA_CLASS"
"563","13006","GOD_CLASS"
"564","13010","GOD_CLASS"
"565","13029","GOD_CLASS"
"566","13031","GOD_CLASS"
"567","13032","DATA_CLASS"
"568","13035","DATA_CLASS"
"569","13115","GOD_CLASS"
"570","13126","DATA_CLASS"
"571","13212","GOD_CLASS"
"572","13233","DATA_CLASS"
"573","13241","GOD_CLASS"
"574","13241","BRAIN_CLASS"
"575","13285","BRAIN_CLASS"
"576","13356","DATA_CLASS"
"577","13374","BRAIN_CLASS"
"578","13441","GOD_CLASS"
"579","13441","BRAIN_CLASS"
